G_label,ANC,start_pairwise_connectivity,end_pairwise_connectivity,baseline,method_name
facebook,0.8396199941323359,1.0,0.6555652717848427,False,MTSSL_MEGA_finetune_BA_FINDER_noProc
facebook,0.8304495521275602,1.0,0.7319464836467522,False,MTSSL_MEGA_freeze_BA_FINDER_noProc
facebook,0.8622642006077857,1.0,0.7590848072305423,False,ORIGINAL_BA_FINDER
facebook,0.770365343134164,1.0,0.6555652717848427,False,MTSSL_MEGA_reset_BA_FINDER_noProc
facebook,0.6512440809208175,1.0,0.5314743901737652,False,MTSSL_MEGA_CrossAttention_1l_freeze_BA_FINDER_noProc
facebook,0.8788077453482804,1.0,0.5382451754139095,False,MTSSL_MEGA_CrossAttention_1l_finetune_BA_FINDER_noProc
facebook,0.7369370938936058,1.0,0.6481310687856303,False,MTSSL_MEGA_CrossAttention_2l_freeze_BA_FINDER_noProc
facebook,0.9021473999994432,1.0,0.8072611993440381,True,random
facebook,0.8650739388134399,1.0,0.7707555641558695,True,degree
facebook,0.8458089883825876,1.0,0.6551865963615522,True,HDA
facebook,0.7530115101126562,1.0,0.5694174713825981,True,CI
socfb-Bowdoin47,0.8980765007890272,0.9982245901367696,0.800554401319958,False,MTSSL_MEGA_finetune_BA_FINDER_noProc
socfb-Bowdoin47,0.8954694749179299,0.9982245901367696,0.7997598067722812,False,MTSSL_MEGA_freeze_BA_FINDER_noProc
socfb-Bowdoin47,0.8984471677916628,0.9982245901367696,0.8037367248659171,False,ORIGINAL_BA_FINDER
socfb-Bowdoin47,0.8953445132426726,0.9982245901367696,0.798171801283503,False,MTSSL_MEGA_reset_BA_FINDER_noProc
socfb-Bowdoin47,0.8945388392607037,0.9982245901367696,0.7965853739368254,False,MTSSL_MEGA_CrossAttention_1l_freeze_BA_FINDER_noProc
socfb-Bowdoin47,0.9008535802389256,0.9982245901367696,0.8061276101484006,False,MTSSL_MEGA_CrossAttention_1l_finetune_BA_FINDER_noProc
socfb-Bowdoin47,0.8952105088131783,0.9982245901367696,0.7973783903424017,False,MTSSL_MEGA_CrossAttention_2l_freeze_BA_FINDER_noProc
socfb-Bowdoin47,0.8992864000886566,0.9982245901367696,0.8021447740218872,True,random
socfb-Bowdoin47,0.8984389561922657,0.9982245901367696,0.8029405521761396,True,degree
socfb-Bowdoin47,0.8980087844649797,0.9982245901367696,0.7997598067722812,True,HDA
socfb-Bowdoin47,0.898603324952522,0.9982245901367696,0.8029405521761396,True,CI
Treni_Roma,0.3633083217538984,1.0,0.0573104832484174,False,MTSSL_MEGA_finetune_BA_FINDER_noProc
Treni_Roma,0.3704122278832792,1.0,0.0728423652925737,False,MTSSL_MEGA_freeze_BA_FINDER_noProc
Treni_Roma,0.3364749112243322,1.0,0.0861509958314034,False,ORIGINAL_BA_FINDER
Treni_Roma,0.380105604446503,1.0,0.0728423652925737,False,MTSSL_MEGA_reset_BA_FINDER_noProc
Treni_Roma,0.2956547784468118,1.0,0.0615717153002933,False,MTSSL_MEGA_CrossAttention_1l_freeze_BA_FINDER_noProc
Treni_Roma,0.3464227265709433,1.0,0.0787401574803149,False,MTSSL_MEGA_CrossAttention_1l_finetune_BA_FINDER_noProc
Treni_Roma,0.3254673459935154,1.0,0.0615717153002933,False,MTSSL_MEGA_CrossAttention_2l_freeze_BA_FINDER_noProc
Treni_Roma,0.3278740157480315,1.0,0.0900108074725953,True,random
Treni_Roma,0.296360660799753,1.0,0.1266944573104832,True,degree
Treni_Roma,0.3902269569245021,1.0,0.0802223251505326,True,HDA
Treni_Roma,0.4792058051567084,1.0,0.1315732592249498,True,CI
Hamilton5000,0.8452125888377675,1.0,0.6905473094618924,False,MTSSL_MEGA_finetune_BA_FINDER_noProc
Hamilton5000,0.8513128840168034,1.0,0.7059219843968794,False,MTSSL_MEGA_freeze_BA_FINDER_noProc
Hamilton5000,0.8847837705141028,1.0,0.7614105221044208,False,ORIGINAL_BA_FINDER
Hamilton5000,0.8859895335867175,1.0,0.7600185637127426,False,MTSSL_MEGA_reset_BA_FINDER_noProc
Hamilton5000,0.8479761589917983,1.0,0.6985485897179435,False,MTSSL_MEGA_CrossAttention_1l_freeze_BA_FINDER_noProc
Hamilton5000,0.8469553378675735,1.0,0.6952079215843169,False,MTSSL_MEGA_CrossAttention_1l_finetune_BA_FINDER_noProc
Hamilton5000,0.8516230123624725,1.0,0.7018953390678135,False,MTSSL_MEGA_CrossAttention_2l_freeze_BA_FINDER_noProc
Hamilton5000,0.9031692679335868,1.0,0.8089022604520905,True,random
Hamilton5000,0.9026569581116224,1.0,0.807104300860172,True,degree
Hamilton5000,0.90214154654931,1.0,0.8060264852970594,True,HDA
Hamilton5000,0.9028923163032606,1.0,0.8081828365673135,True,CI
socfb-Haverford76,0.9014587630675084,1.0,0.8069520021823716,False,MTSSL_MEGA_finetune_BA_FINDER_noProc
socfb-Haverford76,0.9006956375965623,1.0,0.8069520021823716,False,MTSSL_MEGA_freeze_BA_FINDER_noProc
socfb-Haverford76,0.9015369893109524,1.0,0.8081953796895863,False,ORIGINAL_BA_FINDER
socfb-Haverford76,0.9010363074527672,1.0,0.8069520021823716,False,MTSSL_MEGA_reset_BA_FINDER_noProc
socfb-Haverford76,0.901125983303581,1.0,0.8069520021823716,False,MTSSL_MEGA_CrossAttention_1l_freeze_BA_FINDER_noProc
